Age_cohort,target_group,target_severity_band,target_profile_label,n_cells,usable_cells,median_prompt_candidates,median_eval_candidates,max_prompt_candidates,max_eval_candidates
10-year-old,TD,typical,typical,12,0,0.0,1.0,1,1
4-year-old,SLI,high,balanced,12,0,0.0,1.0,1,1
4-year-old,SLI,high,structural,12,0,0.0,1.0,1,1
4-year-old,SLI,low,balanced,12,0,0.0,2.0,1,2
4-year-old,SLI,low,disruption,12,0,0.0,1.0,1,1
4-year-old,SLI,low,lexical,12,0,0.0,1.0,1,1
4-year-old,SLI,low,structural,12,0,0.5,2.5,1,3
4-year-old,SLI,moderate,morphosyntax_burden,12,0,0.0,1.0,1,1
4-year-old,SLI,moderate,structural,12,0,0.0,1.0,1,1
4-year-old,TD,typical,typical,12,12,7.0,36.0,8,36
5-year-old,SLI,high,morphosyntax_burden,12,0,0.5,2.5,1,3
5-year-old,SLI,high,structural,12,0,0.0,1.0,1,1
5-year-old,SLI,low,balanced,12,0,0.0,1.0,1,1
5-year-old,SLI,low,disruption,12,0,0.0,2.0,1,2
5-year-old,SLI,low,structural,12,0,0.0,1.0,1,1
5-year-old,SLI,moderate,disruption,12,0,0.0,2.0,1,2
5-year-old,SLI,moderate,morphosyntax_burden,12,0,0.0,1.0,1,1
5-year-old,SLI,moderate,structural,12,0,0.0,1.0,1,1
5-year-old,TD,typical,typical,12,12,8.0,38.0,8,39
6-year-old,SLI,high,disruption,12,0,0.0,1.0,1,1
6-year-old,SLI,high,morphosyntax_burden,12,0,1.0,3.0,1,4
6-year-old,SLI,low,disruption,12,0,0.0,1.0,1,1
6-year-old,SLI,moderate,balanced,12,0,0.0,2.0,1,2
6-year-old,SLI,moderate,morphosyntax_burden,12,0,0.0,2.0,1,2
6-year-old,SLI,moderate,structural,12,0,0.0,1.0,1,1
6-year-old,TD,typical,typical,12,12,8.5,42.5,9,43
7-year-old,SLI,high,morphosyntax_burden,12,0,1.0,4.0,1,5
7-year-old,SLI,low,balanced,12,0,1.0,3.0,1,4
7-year-old,SLI,low,morphosyntax_burden,12,0,0.0,1.0,1,1
7-year-old,SLI,low,structural,12,0,0.0,1.0,1,1
7-year-old,SLI,moderate,balanced,12,0,0.0,2.0,1,2
7-year-old,TD,typical,typical,12,12,8.0,40.0,8,40
8-year-old,SLI,high,balanced,12,0,0.0,1.0,1,1
8-year-old,SLI,high,morphosyntax_burden,12,0,1.0,5.0,1,5
8-year-old,SLI,low,balanced,12,0,0.0,2.0,1,2
8-year-old,SLI,low,structural,12,0,0.0,1.0,1,1
8-year-old,SLI,moderate,balanced,12,0,1.0,3.0,1,4
8-year-old,SLI,moderate,morphosyntax_burden,12,0,0.0,1.0,1,1
8-year-old,SLI,moderate,structural,12,0,0.0,1.0,1,1
8-year-old,TD,typical,typical,12,12,8.0,38.0,8,39
9-year-old,SLI,high,balanced,12,0,0.0,1.0,1,1
9-year-old,SLI,high,morphosyntax_burden,12,0,0.0,1.0,1,1
9-year-old,SLI,low,balanced,12,0,0.5,2.5,1,3
9-year-old,SLI,low,disruption,12,0,0.0,1.0,1,1
9-year-old,SLI,moderate,balanced,12,0,0.5,2.5,1,3
9-year-old,SLI,moderate,disruption,12,0,0.0,2.0,1,2
9-year-old,TD,typical,typical,12,12,8.0,42.0,9,42
