left_column,right_column,overlap_rows,pearson_r,spearman_rho,abs_pearson_r,exact_equal_on_overlap,max_abs_diff,mean_abs_diff
FREQ_tokens,mor_Words,360,1.000000,1.000000,1.000000,1,0.000000,0.000000
DSS,DSS_tbl_TOT,341,0.999980,0.999915,0.999980,0,834.960000,463.530323
DSS,DSS_tbl_score,341,0.999980,0.999915,0.999980,0,0.180000,0.001056
TD_Utts,#utterances,360,0.999959,0.999902,0.999959,0,2.000000,0.055556
Age(Month),Age_Month_approx,359,0.999891,0.999800,0.999891,0,1.000000,0.250046
Total_Utts,#utterances,360,0.999768,0.999654,0.999768,0,6.000000,0.175000
Total_Utts,TD_Utts,360,0.999762,0.999655,0.999762,0,6.000000,0.180556
MLU_Words,words/utterances,360,0.999298,0.999240,0.999298,0,0.343000,0.019122
Total_Utts,MLU_Utts,360,0.999032,0.998763,0.999032,0,15.000000,0.472222
FREQ_tokens,#words,360,0.998488,0.998136,0.998488,0,105.000000,16.591667
mor_Words,#words,360,0.998488,0.998136,0.998488,0,105.000000,16.591667
MLU_Utts,TD_Utts,360,0.998445,0.998142,0.998445,0,16.000000,0.652778
MLU_Utts,#utterances,360,0.998435,0.998077,0.998435,0,16.000000,0.647222
MLU_Words,MLU_Morphemes,360,0.992385,0.992106,0.992385,0,1.272000,0.591308
MLU_Morphemes,words/utterances,360,0.991768,0.991166,0.991768,0,1.361000,0.602364
TD_Words,#words,360,0.991698,0.988904,0.991698,0,251.000000,46.819444
MLU50_Words,MLU50_Morphemes,360,0.990867,0.990939,0.990867,0,1.460000,0.612944
FREQ_tokens,TD_Words,360,0.990212,0.987968,0.990212,0,247.000000,32.744444
TD_Words,mor_Words,360,0.990212,0.987968,0.990212,0,247.000000,32.744444
DSS_tbl_score,DSS_tbl_TOT,360,0.973711,0.996837,0.973711,0,834.960000,452.544028
MLU50_Words,words/utterances,360,0.971229,0.969030,0.971229,0,1.562000,0.237478
MLU_Words,MLU50_Words,360,0.970953,0.969122,0.970953,0,1.562000,0.235856
MLU_Morphemes,MLU50_Morphemes,360,0.970895,0.967307,0.970895,0,1.645000,0.258158
MLU50_Morphemes,words/utterances,360,0.965541,0.962364,0.965541,0,2.061000,0.681761
MLU_Words,MLU50_Morphemes,360,0.965182,0.962800,0.965182,0,2.061000,0.671639
MLU_Morphemes,MLU50_Words,360,0.961213,0.959131,0.961213,0,1.667000,0.571103
words/turns,utterances/turns,360,0.952573,0.954502,0.952573,0,285.250000,64.523461
