column,dtype,non_null_rows,missing_rows,unique_non_null_values,unique_values_including_null,is_constant,is_id_like
File_ID,int64,360,0,360,360,0,1
File_kideval,object,360,0,360,360,0,1
Group,object,360,0,3,3,0,0
Sex,object,360,0,3,3,0,0
Age(Month),int64,360,0,73,73,0,0
#utterances,int64,360,0,105,105,0,0
#words,int64,360,0,284,284,0,0
DSS_tbl_warning_50,int64,360,0,2,2,0,0
MLU_Morphemes_severity_z,float64,360,0,360,360,0,0
VOCD_D_optimum_average_severity_z,float64,360,0,360,360,0,0
IPSyn_Total_severity_z,float64,351,9,314,315,0,0
DSS_tbl_score_severity_z,float64,360,0,357,357,0,0
DSS_tbl_IP_severity_z,float64,360,0,349,349,0,0
DSS_tbl_PP_severity_z,float64,360,0,350,350,0,0
DSS_tbl_MV_severity_z,float64,360,0,345,345,0,0
DSS_tbl_SV_severity_z,float64,360,0,340,340,0,0
DSS_tbl_NG_severity_z,float64,360,0,293,293,0,0
DSS_tbl_CNJ_severity_z,float64,360,0,354,354,0,0
DSS_tbl_IR_severity_z,float64,360,0,229,229,0,0
DSS_tbl_WHQ_severity_z,float64,360,0,236,236,0,0
Word_Errors_per_utt_severity_z,float64,360,0,325,325,0,0
retracing_per_utt_severity_z,float64,360,0,358,358,0,0
repetition_per_utt_severity_z,float64,360,0,358,358,0,0
bare_marking_errors_per_word_severity_z,float64,360,0,225,225,0,0
determiner_errors_per_word_severity_z,float64,360,0,181,181,0,0
pronoun_errors_per_word_severity_z,float64,360,0,110,110,0,0
rule_generalization_errors_per_word_severity_z,float64,360,0,257,257,0,0
severity_structural,float64,360,0,360,360,0,0
severity_lexical,float64,360,0,360,360,0,0
severity_disruption,float64,360,0,360,360,0,0
severity_morphosyntax_burden,float64,360,0,305,305,0,0
profile_dss_subscales,float64,360,0,360,360,0,1
severity_core_composite,float64,360,0,360,360,0,0
severity_domain_composite,float64,360,0,360,360,0,0
severity_use_with_caution,int64,360,0,2,2,0,0
