feature,feature_safe,td_n,td_age_min,td_age_max,spline_resid_sd,spline_r2,linear_resid_sd,linear_r2,corr_spline_vs_linear_z,method,reason
MLU_Morphemes,MLU_Morphemes,285,48.0,120.0,0.9960376302318787,0.3818053139615284,1.0049950740341884,0.37063637149782547,0.6570427775196206,td_cubic_b_spline_df4,
VOCD_D_optimum_average,VOCD_D_optimum_average,285,48.0,120.0,8.804354396299427,0.14150503483785748,8.903925893627658,0.12197719759835779,0.5848318652089518,td_cubic_b_spline_df4,
IPSyn_Total,IPSyn_Total,284,50.0,120.0,6.852694794343303,0.15412182525760698,6.934411499105132,0.13382776201572588,0.7912950948683681,td_cubic_b_spline_df4,
DSS_tbl_score,DSS_tbl_score,285,48.0,120.0,1.783092942156633,0.14132169286276697,1.8112504651661034,0.11398811110415707,0.5162815221662255,td_cubic_b_spline_df4,
Word_Errors_per_utt,Word_Errors_per_utt,285,48.0,120.0,0.039330934325385765,0.20679462854052932,0.041195831641650645,0.12979080299648094,0.6587484849145984,td_cubic_b_spline_df4,
retracing_per_utt,retracing_per_utt,285,48.0,120.0,0.08376805701783861,0.01121069597318236,0.0840655243282398,0.004175681679174037,0.8197733951914824,td_cubic_b_spline_df4,
repetition_per_utt,repetition_per_utt,285,48.0,120.0,0.10159403962847667,0.055576507683298804,0.10287426673649672,0.03162442172853275,0.7689825320841921,td_cubic_b_spline_df4,
DSS_tbl_IP,DSS_tbl_IP,285,48.0,120.0,24.16395415553824,0.04064477855329929,24.375618691103618,0.023764193846375847,0.9333312620663218,td_cubic_b_spline_df4,
DSS_tbl_PP,DSS_tbl_PP,285,48.0,120.0,27.16286034162861,0.04293519408027402,27.758288523650215,0.00051629972192202,0.6930080399723241,td_cubic_b_spline_df4,
DSS_tbl_MV,DSS_tbl_MV,285,48.0,120.0,22.622344310046927,0.17905473542468542,23.161455463968757,0.13946075747478204,0.5025350374756707,td_cubic_b_spline_df4,
DSS_tbl_SV,DSS_tbl_SV,285,48.0,120.0,16.10203380676052,0.08903429750800329,16.21468936540951,0.07624282618266731,0.9930276614843404,td_cubic_b_spline_df4,
DSS_tbl_NG,DSS_tbl_NG,285,48.0,120.0,10.08413332101612,0.014486304669885097,10.149252954408535,0.0017170359655899192,0.622388527111387,td_cubic_b_spline_df4,
DSS_tbl_CNJ,DSS_tbl_CNJ,285,48.0,120.0,49.09567736167996,0.09668134001649498,49.50035277327984,0.08172860231423684,0.5505575821886045,td_cubic_b_spline_df4,
DSS_tbl_IR,DSS_tbl_IR,285,48.0,120.0,6.878187288731647,0.018055089483811515,6.940994525492089,4.0218898475274933e-05,0.6503773336511786,td_cubic_b_spline_df4,
DSS_tbl_WHQ,DSS_tbl_WHQ,285,48.0,120.0,6.460754014939016,0.030797137835535504,6.526730518367263,0.01090128249956901,0.903888928871933,td_cubic_b_spline_df4,
bare_marking_errors_per_word,bare_marking_errors_per_word,285,48.0,120.0,0.0020789584357430732,0.06170501633975245,0.002090150959299451,0.05157479139250187,0.9798736601692067,td_cubic_b_spline_df4,
pronoun_errors_per_word,pronoun_errors_per_word,285,48.0,120.0,0.0035824006635596668,0.0492117461148156,0.003645336079755927,0.015511511155094304,0.5845810373827165,td_cubic_b_spline_df4,
past_overgeneralization_errors_per_past_opp,past_overgeneralization_errors_per_past_opp,285,48.0,120.0,0.05758309424842089,0.17153279072684413,0.06001524694832269,0.10007042958528412,0.7088163835762856,td_cubic_b_spline_df4,
